GEOID,NAME,total,hisp,white,black,amind_aknat,asian,nathw_pacis,other_race,multi_race,pop_over18,pop_under18,total_housing,occupied_housing,jobs_rac,jobs_rac_low,jobs_rac_mid,jobs_rac_hi,jobs_wac,jobs_wac_low,jobs_wac_mid,jobs_wac_hi
511319303011010,"Block 1010, Block Group 1, Census Tract 9303.01, Northampton County, Virginia",19,2,16,0,0,0,0,0,1,11,8,12,12,5,0,1,4,112,12,61,39
511319303011012,"Block 1012, Block Group 1, Census Tract 9303.01, Northampton County, Virginia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
511319303011013,"Block 1013, Block Group 1, Census Tract 9303.01, Northampton County, Virginia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
511319303011015,"Block 1015, Block Group 1, Census Tract 9303.01, Northampton County, Virginia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
511319303011016,"Block 1016, Block Group 1, Census Tract 9303.01, Northampton County, Virginia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
511319303011018,"Block 1018, Block Group 1, Census Tract 9303.01, Northampton County, Virginia",89,4,63,20,0,0,0,0,2,75,14,50,44,45,10,15,20,2,0,2,0
511319303011019,"Block 1019, Block Group 1, Census Tract 9303.01, Northampton County, Virginia",8,3,0,5,0,0,0,0,0,6,2,5,5,4,1,3,0,1,0,0,1
511319303011020,"Block 1020, Block Group 1, Census Tract 9303.01, Northampton County, Virginia",22,2,16,4,0,0,0,0,0,18,4,9,8,9,2,2,5,0,0,0,0
511319303011022,"Block 1022, Block Group 1, Census Tract 9303.01, Northampton County, Virginia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
511319303011023,"Block 1023, Block Group 1, Census Tract 9303.01, Northampton County, Virginia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
511319303011025,"Block 1025, Block Group 1, Census Tract 9303.01, Northampton County, Virginia",6,0,6,0,0,0,0,0,0,0,6,1,1,3,0,0,3,0,0,0,0
511319303011026,"Block 1026, Block Group 1, Census Tract 9303.01, Northampton County, Virginia",12,5,2,5,0,0,0,0,0,9,3,2,2,8,1,3,4,13,1,7,5
511319303011027,"Block 1027, Block Group 1, Census Tract 9303.01, Northampton County, Virginia",16,1,13,0,0,0,0,0,2,14,2,7,7,6,1,3,2,0,0,0,0
511319303011029,"Block 1029, Block Group 1, Census Tract 9303.01, Northampton County, Virginia",91,2,87,0,0,0,0,1,1,69,22,52,41,39,7,11,21,0,0,0,0
511319303011030,"Block 1030, Block Group 1, Census Tract 9303.01, Northampton County, Virginia",55,2,45,8,0,0,0,0,0,44,11,31,23,22,4,10,8,11,2,6,3
511319303011032,"Block 1032, Block Group 1, Census Tract 9303.01, Northampton County, Virginia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
511319303011033,"Block 1033, Block Group 1, Census Tract 9303.01, Northampton County, Virginia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
511319303011035,"Block 1035, Block Group 1, Census Tract 9303.01, Northampton County, Virginia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
511319303011036,"Block 1036, Block Group 1, Census Tract 9303.01, Northampton County, Virginia",1,0,1,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0
511319303011037,"Block 1037, Block Group 1, Census Tract 9303.01, Northampton County, Virginia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
511319303011039,"Block 1039, Block Group 1, Census Tract 9303.01, Northampton County, Virginia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
511319303011040,"Block 1040, Block Group 1, Census Tract 9303.01, Northampton County, Virginia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
511319303011041,"Block 1041, Block Group 1, Census Tract 9303.01, Northampton County, Virginia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
511319303011042,"Block 1042, Block Group 1, Census Tract 9303.01, Northampton County, Virginia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
511319303011043,"Block 1043, Block Group 1, Census Tract 9303.01, Northampton County, Virginia",19,0,18,0,0,0,0,0,1,18,1,8,0,12,1,5,6,0,0,0,0
511319303011044,"Block 1044, Block Group 1, Census Tract 9303.01, Northampton County, Virginia",75,1,29,45,0,0,0,0,0,57,18,39,39,30,3,9,18,3,2,1,0
511319303011045,"Block 1045, Block Group 1, Census Tract 9303.01, Northampton County, Virginia",14,6,3,5,0,0,0,0,0,10,4,2,2,7,0,3,4,0,0,0,0
511319303011046,"Block 1046, Block Group 1, Census Tract 9303.01, Northampton County, Virginia",9,1,3,5,0,0,0,0,0,9,0,4,4,6,1,3,2,0,0,0,0
511319303011047,"Block 1047, Block Group 1, Census Tract 9303.01, Northampton County, Virginia",9,1,8,0,0,0,0,0,0,9,0,3,0,1,0,0,1,0,0,0,0
511319303011048,"Block 1048, Block Group 1, Census Tract 9303.01, Northampton County, Virginia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
511319303011049,"Block 1049, Block Group 1, Census Tract 9303.01, Northampton County, Virginia",39,0,9,30,0,0,0,0,0,29,10,18,18,19,4,9,6,0,0,0,0
511319303011050,"Block 1050, Block Group 1, Census Tract 9303.01, Northampton County, Virginia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
511319303011051,"Block 1051, Block Group 1, Census Tract 9303.01, Northampton County, Virginia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
511319303011052,"Block 1052, Block Group 1, Census Tract 9303.01, Northampton County, Virginia",50,4,46,0,0,0,0,0,0,45,5,31,31,20,2,9,9,2,0,1,1
511319303011053,"Block 1053, Block Group 1, Census Tract 9303.01, Northampton County, Virginia",4,0,4,0,0,0,0,0,0,4,0,3,3,0,0,0,0,0,0,0,0
511319303011054,"Block 1054, Block Group 1, Census Tract 9303.01, Northampton County, Virginia",51,1,48,2,0,0,0,0,0,42,9,22,22,17,1,3,13,11,4,4,3
511319303011056,"Block 1056, Block Group 1, Census Tract 9303.01, Northampton County, Virginia",49,0,45,3,0,0,0,0,1,41,8,23,9,14,1,6,7,6,1,2,3
511319303011057,"Block 1057, Block Group 1, Census Tract 9303.01, Northampton County, Virginia",11,1,0,8,0,0,0,0,2,11,0,5,5,4,0,2,2,0,0,0,0
511319303011058,"Block 1058, Block Group 1, Census Tract 9303.01, Northampton County, Virginia",1,1,0,0,0,0,0,0,0,1,0,10,10,0,0,0,0,0,0,0,0
511319303011060,"Block 1060, Block Group 1, Census Tract 9303.01, Northampton County, Virginia",19,1,4,14,0,0,0,0,0,12,7,5,5,7,3,2,2,2,1,1,0
511319303011061,"Block 1061, Block Group 1, Census Tract 9303.01, Northampton County, Virginia",21,2,2,17,0,0,0,0,0,20,1,11,11,9,2,2,5,0,0,0,0
