GEOID,NAME,totpop_est,totpop_moe,whitepop_est,whitepop_moe,whiteper_est,whiteper_moe,blackpop_est,blackpop_moe,blackper_est,blackper_moe,ltnxpop_est,ltnxpop_moe,ltnxper_est,ltnxper_moe,remainpop_est,remainpop_moe,remainper_est,remainper_moe,age17pop_est,age17pop_moe,age17per_est,age17per_moe,age65pop_est,age65pop_moe,age65per_est,age65per_moe,onlinehh_est,onlinehh_moe,onlineper_est,onlineper_moe,tothh_est,tothh_moe,ownhh_est,ownhh_moe,ownhhper_est,ownhhper_moe,renthh_est,renthh_moe,renthhper_est,renthhper_moe,medhhinc_est,medhhinc_moe,medrent_est,medrent_moe,medhome_est,medhome_moe,jobs_total_w,jobs_lowage_w,percent_lowage_w,jobs_total_h,jobs_lowage_h,percent_lowage_h
510010907004,"Block Group 4, Census Tract 907, Accomack County, Virginia",1028,439,494,307,48.05,21.7,456,383,44.36,32.08,29,45,2.82,4.21,49,51.32250968142536,4.77,4.56,279,177.9100896520487,27.14,12.85,229,116.30993078838969,22.28,6.12,355,136,88.97,14.18,399,139,292,134,73.18,21.86,107,101,26.82,23.53,92966,52678,859,123,152300,30773,71,19,26.76056338028169,444,126,28.37837837837838
510010907005,"Block Group 5, Census Tract 907, Accomack County, Virginia",1591,432,907,262,57.01,5.62,623,359,39.16,19.9,40,37,2.51,2.22,21,31.78049716414141,1.32,1.97,260,161.2854612170607,16.34,9.11,406,149.0570360633808,25.52,6.31,714,195,90.27,11.52,791,191,499,152,63.08,11.71,292,157,36.92,17.73,51052,26091,765,293,186500,51207,27,4,14.814814814814813,585,153,26.153846153846157
510010908001,"Block Group 1, Census Tract 908, Accomack County, Virginia",683,249,482,144,70.57,33.26,195,201,28.55,27.53,6,9,0.88,1.28,0,13,0,1.9,23,22.693611435820433,3.37,3.09,301,86.55056325639943,44.07,20.46,236,91,80.27,18.09,294,92,243,74,82.65,36.09,51,53,17.35,17.19,42429,9149,NA,NA,195300,26899,60,11,18.333333333333332,332,96,28.915662650602407
510010908002,"Block Group 2, Census Tract 908, Accomack County, Virginia",1554,524,660,216,42.47,19.96,826,501,53.15,26.8,65,53,4.18,3.11,3,14.317821063276353,0.19,0.92,506,184.23354743368537,32.56,4.47,181,69.74238309665078,11.65,2.17,397,109,82.71,12.51,480,110,248,62,51.67,5.16,232,97,48.33,16.9,40750,17285,950,93,129300,48596,112,33,29.464285714285715,633,165,26.066350710900476
510010908003,"Block Group 3, Census Tract 908, Accomack County, Virginia",1221,435,348,148,28.5,6.62,830,410,67.98,23.26,42,59,3.44,4.67,1,13.341664064126334,0.08,1.09,232,139.88209320710067,19,9.24,244,108.03240254664338,19.98,5.25,236,106,56.73,15.55,416,148,202,73,48.56,3.08,214,121,51.44,22.61,58690,28070,821,195,108600,36910,658,217,32.97872340425532,347,91,26.22478386167147
510019801001,"Block Group 1, Census Tract 9801, Accomack County, Virginia",24,28,24,28,100,164.99,0,13,0,54.17,0,13,0,54.17,0,13,0,54.17,0,13,0,54.17,0,13,0,54.17,24,28,100,164.99,24,28,24,28,100,164.99,0,13,0,54.17,NA,NA,NA,NA,NA,NA,18,0,0,252,75,29.761904761904763
510019802001,"Block Group 1, Census Tract 9802, Accomack County, Virginia",0,13,0,13,NA,NA,0,13,NA,NA,0,13,NA,NA,0,13,NA,NA,0,13,NA,NA,0,13,NA,NA,0,13,NA,NA,0,13,0,13,NA,NA,0,13,NA,NA,NA,NA,NA,NA,NA,NA,653,26,3.9816232771822357,196,54,27.55102040816326
510019901000,"Block Group 0, Census Tract 9901, Accomack County, Virginia",0,13,0,13,NA,NA,0,13,NA,NA,0,13,NA,NA,0,13,NA,NA,0,13,NA,NA,0,13,NA,NA,0,13,NA,NA,0,13,0,13,NA,NA,0,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
510019902000,"Block Group 0, Census Tract 9902, Accomack County, Virginia",0,13,0,13,NA,NA,0,13,NA,NA,0,13,NA,NA,0,13,NA,NA,0,13,NA,NA,0,13,NA,NA,0,13,NA,NA,0,13,0,13,NA,NA,0,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
511319301001,"Block Group 1, Census Tract 9301, Northampton County, Virginia",552,177,480,155,86.96,3.32,55,84,9.96,14.88,0,13,0,2.36,17,32.69556544854363,3.08,5.84,52,35.651086939951774,9.42,5.71,219,85.53946457629952,39.67,8.85,252,92,82.62,12.7,305,101,249,87,81.64,9.1,56,55,18.36,16.98,78036,58449,NA,NA,400800,89968,178,18,10.112359550561797,222,67,30.180180180180184
